OBJECTID,StaType,StnType,ZipCode,State,City,Address,Station Name,lon,lat,Code
955,Station Building (with waiting room),TRAIN,V6A 4C7,BC,Vancouver,1150 Station Street,Pacific Central Station,-123.098336,49.273757,VAC
958,Station Building (with waiting room),TRAIN,98660,WA,Vancouver,1301 West 11th Street,Vancouver,-122.686544,45.628901,VAN
959,Platform with Shelter,TRAIN,94550,CA,Livermore,575 South Vasco Road,Vasco Road ACE Station,-121.718346,37.696986,VAS
961,Platform with Shelter,TRAIN,93001,CA,Ventura,39 East Harbor Blvd,"Ventura, CA",-119.299918,34.276929,VEC
967,Station Building (with waiting room),TRAIN,91405,CA,Van Nuys,7724 Van Nuys Boulevard,Van Nuys,-118.448206,34.211294,VNC
968,Station Building (with waiting room),TRAIN,5456,VT,Ferrisburgh,49 Park Lane,"Verona, MS",-73.248824,44.180921,VRN
969,Platform only (no shelter),TRAIN,92395,CA,Victorville,16858 South D Street,Amtrak Station,-117.292956,34.5372,VRV
971,Station Building (with waiting room),TRAIN,5676,VT,Waterbury,US Highway 2 and Park Row,"Wabash, IN",-72.751806,44.335011,WAB
972,Platform with Shelter,TRAIN,93280,CA,Wasco,700 G Street,"Waco, TX",-119.332309,35.594092,WAC
974,Station Building (with waiting room),TRAIN,63090,MO,Washington,301 West Front Street,"Waukegan, IL",-91.012717,38.561466,WAH
